# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 06:32:10 2018
#
# CONSTRAINT:  where (pl_disc = 2018
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_metfe:       Stellar Metallicity [dex]
#
loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbsmax,st_teff,st_mass,st_rad,pl_eqt,pl_insol,pl_rade,pl_ratdor,pl_ratror,st_logg,st_dens,st_metfe
3484,MOA-2010-BLG-117L,MOA-2010-BLG-117L b,1,,2.900000,,0.58,,,,,,,,,
3505,NGTS-2,NGTS-2 b,1,4.51116400,0.063000,6478.00,1.64,1.70,1468,,17.878,,0.09619,4.20,0.4770,-0.060
3506,NGTS-3 A,NGTS-3 A b,1,1.67537280,0.023000,5600.00,1.02,0.93,,,16.589,6.494350,0.16380,,1.0900,0.120
3535,OGLE-2014-BLG-1722L,OGLE-2014-BLG-1722L b,2,,1.900000,,0.40,,,,,,,,,
3536,OGLE-2014-BLG-1722L,OGLE-2014-BLG-1722L c,2,,2.500000,,0.40,,,,,,,,,
3545,OGLE-2017-BLG-0173L,OGLE-2017-BLG-0173L b,1,,3.913000,,0.40,,,,,,,,,
3546,OGLE-2017-BLG-0373L,OGLE-2017-BLG-0373L b,1,,2.424000,,0.25,,,,,,,,,
3547,OGLE-2017-BLG-0482L,OGLE-2017-BLG-0482L b,1,,1.800000,,0.20,,,,,,,,,
3548,OGLE-2017-BLG-1140L,OGLE-2017-BLG-1140L b,1,,1.020000,,0.21,,,,,,,,,
3549,OGLE-2017-BLG-1434L,OGLE-2017-BLG-1434L b,1,,1.180000,,0.23,,,,,,,,,
3550,OGLE-2017-BLG-1522L,OGLE-2017-BLG-1522L b,1,,0.590000,,0.04,,,,,,,,,
3587,TCP J05074264+2447555,TCP J05074264+2447555 b,1,,0.500000,,0.25,,,,,,,,,
3597,TYC 3318-01333-1,TYC 3318-01333-1 b,1,562.00000000,1.414000,4776.00,1.19,5.90,,,,,,2.97,,-0.060
3605,UKIRT-2017-BLG-001L,UKIRT-2017-BLG-001L b,1,,4.180000,,0.81,,,,,,,,,
3656,WASP-174,WASP-174 b,1,4.23370000,0.055900,6400.00,1.30,1.31,1490,,14.572,,,4.32,0.8000,0.090
3754,Wolf 503,Wolf 503 b,1,6.00118000,0.057100,4716.00,0.69,0.69,805,69.60,2.030,,0.02694,4.62,,-0.470
3776,gam Lib,gam Lib b,2,415.20000000,1.240000,4822.00,1.47,11.10,,,,,,2.47,,-0.300
3777,gam Lib,gam Lib c,2,964.60000000,2.170000,4822.00,1.47,11.10,,,,,,2.47,,-0.300
